"Site","Monthly","MeanTemp","SDTemp","Year"
"PaiaPoint","2007/04",14.2014166666667,1.52580420244907,"2007"
"PaiaPoint","2007/05",12.3035483870968,0.963653683993335,"2007"
"PaiaPoint","2007/06",10.4434305555556,0.95539980063417,"2007"
"PaiaPoint","2007/07",9.36465425531915,1.49946919946421,"2007"
"Rakautara","2005/08",13.8407520143241,4.66901960347391,"2005"
"Rakautara","2005/09",10.7406111111111,0.503277832756287,"2005"
"Rakautara","2005/10",11.9245362903226,1.56661571171465,"2005"
"Rakautara","2005/11",14.3463402777778,1.09986189456620,"2005"
"Rakautara","2005/12",15.5423454301075,1.16727028385354,"2005"
"Rakautara","2006/01",16.2435080645161,0.992166591181055,"2006"
"Rakautara","2006/02",16.4973039581777,0.905856615991841,"2006"
"Rakautara","2006/03",15.4175302013423,0.898866202909346,"2006"
