Handling Time Coefficients
 'ConLevel' = Constraint Percentage, 'Window'of 0.1 = 2hrs24min
Prey with no 'N' are matched to other species by taxonomy only
"Pred","Prey","N","ConLevel","Window","Type","logIntC","logPredSizeC","logPreySizeC","logTempC","IntC","PredSizeC","PreySizeC","TempC","R2","Sigma","Pvalue"
"Haustrum haustorium","Diloma aethiops",35,0.1,0.1,"Unweighted",10.644088,-2.82593,2.590362,-1.612427,41943.890029,0.059254,13.334592,0.199403,0.753461448647956,0.484572201231186,1.49588808007195e-09
"Haustrum haustorium","Diloma aethiops",35,0.1,0.1,"Weighted",10.807931,-2.798728,2.550256,-1.677168,49411.113518,0.060887,12.810382,0.186902,0.744622909502373,1.65249506773343,2.56828514011431e-09
"Haustrum haustorium","Diloma aethiops",38,0.2,0.1,"Unweighted",9.432269,-2.570972,2.514041,-1.421998,12484.824453,0.076461,12.354752,0.241232,0.706713627899758,0.515220523278178,3.55291551734638e-09
"Haustrum haustorium","Diloma aethiops",38,0.2,0.1,"Weighted",10.398293,-2.735329,2.527669,-1.587473,32803.580126,0.064873,12.52428,0.204442,0.736099689918301,1.62313595921332,6.01570571134857e-10
"Haustrum haustorium","Diloma aethiops",42,0.3,0.1,"Unweighted",8.689254,-2.243502,2.347304,-1.43265,5938.752999,0.106086,10.457341,0.238676,0.677722720098725,0.527786237707926,1.89331417210781e-09
"Haustrum haustorium","Diloma aethiops",42,0.3,0.1,"Weighted",10.12721,-2.599759,2.436547,-1.591047,25014.471415,0.074291,11.43349,0.203712,0.723401555482731,1.58689876718037,1.06951225653518e-10
"Haustrum haustorium","Diloma aethiops",50,0.5,0.1,"Unweighted",8.712872,-2.295965,2.3197,-1.349229,6080.678311,0.100664,10.172627,0.25944,0.704982493112518,0.495713622646208,2.98283620026041e-12
"Haustrum haustorium","Diloma aethiops",50,0.5,0.1,"Weighted",9.985493,-2.55124,2.39752,-1.56944,21709.241044,0.077985,10.995872,0.208162,0.72646207735498,1.46026116957944,5.31685806492987e-13
"Haustrum haustorium","Diloma aethiops",69,0.8,0.1,"Unweighted",8.295917,-2.252622,2.243047,-1.197415,4007.474649,0.105123,9.421996,0.301974,0.703342524201728,0.450868559107069,0
"Haustrum haustorium","Diloma aethiops",69,0.8,0.1,"Weighted",9.600434,-2.457804,2.344287,-1.505761,14771.192497,0.085623,10.425836,0.221848,0.72196851152378,1.28016408368982,0
"Haustrum haustorium","Haustrum scobina",20,0.1,0.1,"Unweighted",6.490123,-1.145673,1.631951,-1.13128,658.604155,0.31801,5.113842,0.32262,0.488114595003021,0.370148330320765,0.0116058402289232
"Haustrum haustorium","Haustrum scobina",20,0.1,0.1,"Weighted",6.059731,-0.952878,1.645429,-1.233439,428.260282,0.38563,5.183233,0.291289,0.494010419474211,1.04557573451161,0.0106297604875030
"Haustrum haustorium","Haustrum scobina",35,0.2,0.1,"Unweighted",7.738714,-1.154333,1.31655,-1.254165,2295.517965,0.315268,3.730529,0.285314,0.49119464406549,0.376808617778025,9.29278057795191e-05
"Haustrum haustorium","Haustrum scobina",35,0.2,0.1,"Weighted",7.01329,-0.904555,1.355768,-1.368289,1111.304944,0.404722,3.87974,0.254542,0.46631131099801,0.93599826461518,0.000190361251995119
"Haustrum haustorium","Haustrum scobina",43,0.3,0.1,"Unweighted",7.452254,-1.04905,1.270874,-1.245014,1723.744233,0.35027,3.563967,0.287937,0.482907387378506,0.350242009919013,9.40021351203413e-06
